"Q22_6","Q24_1","Q25_1","Q26_1","Q27_1","Q28_1","Q29_1","Q30_1","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q1_9","Q1_10","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q4_1","Q4_2","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q31_1","Q32_1","Q33_1","Q34_1","Q39_1","Q40_1","Q41_1","Q42_1","Q43_2","Q44_1","Q46_1","Q53_1","Q53_2","Q48","Q54_1","Q54_2","Q54_3","Q54_4","Q54_5","Q54_6","Q54_7","Q54_8","Q54_9","Q54_10","Q54_11","Q54_12","Q55","Q56","Q57","Q57_11_TEXT","Q57_12_TEXT","Q58","Q37","Q51","Q59","Q38","survey_administered","survey_duration_num"
"Q22 - 6","Q24","Q25","Q26","Q27","Q28","Q29","Q30","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated household food leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Biscuit crumbs from biscuit factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated restaurant leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold egg sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold confectionary containing porcine gelatine","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold bread from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold bacon sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold chicken sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Misshapen chocolates from chocolate factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated leftovers from a college canteen","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated household food leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Biscuit crumbs from biscuit factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated restaurant leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold egg sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold confectionary containing porcine gelatine","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold bread from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold bacon sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold chicken sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Misshapen chocolates from chocolate factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated leftovers from a college canteen","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated household food leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Biscuit crumbs from biscuit factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated restaurant leftovers","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold egg sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold confectionary containing porcine gelatine","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Unsold bread from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold bacon sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated, unsold chicken sandwiches from supermarkets","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Misshapen chocolates from chocolate factories","How do you feel about the inclusion of THE FOLLOWING in pig feed? - Heat-treated leftovers from a college canteen","To what extent do you agree with the following statements?



Using heat-treated swill would... - Lower dependence on foreign protein sources","To what extent do you agree with the following statements?



Using heat-treated swill would... - Reduce the environmental impact of food waste disposal","To what extent do you agree with the following statements?



Using heat-treated swill would... - Reduce the environmental impact of pork production","To what extent do you agree with the following statements?



Using heat-treated swill would... - Help farms reduce feed costs","To what extent do you agree with the following statements?



Using heat-treated swill would... - Help farmers improve profitability","To what extent do you agree with the following statements?



Using heat-treated swill would... - Lower consumer acceptance of pork products","To what extent do you agree with the following statements?



Using heat-treated swill would... - Increase the risk of an outbreak of foot-and-mouth disease","To what extent do you agree with the following statements?



Using heat-treated swill would... - Increase the risk of prion diseases like BSE (mad cow disease) or vCJD (Creutzfeldt-Jacob disease)","To what extent do you agree with the following statements?



Using heat-treated swill would... - Increase the risk of toxins entering the feed","To what extent do you agree with the following statements?



Using heat-treated swill would... - Reduce the traceability of feed production","To what extent do you agree with the following statements?



Using heat-treated swill would... - Be an efficient way to use food waste","To what extent do you agree with the following statements?



Using heat-treated swill would... - Negatively affect the marketability of pork","Q31","Q32","Q33","Q34","Q39","Q40","Q41","Q42","Q43","Q44","Q46","To what extent do you agree with the following: - Feeding swill is a traditional farming practice","To what extent do you agree with the following: - Using swill is an unnatural feeding practice","If procedures were put in place to ensure the safety of swill (e.g. heat treatment was performed by regulated swill manufacturers), would you support the re-legalisation of swill?","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Consumer acceptance","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Communication with consumers","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Traceability","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Disease control","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Food safety","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Perception of the pork industry","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Feed prices","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Labelling of the end product","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Meat quality","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Environmental impacts","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Profitability","When considering the re-legalisation of the use of swill, how much importance do you place on THE FOLLOWING considerations? - Efficient use of resources","What is your gender?","What is your age bracket?","Please select the profession which best describes your job: - Selected Choice","Please select the profession which best describes your job: - Other: involved in the animal industry - Text","Please select the profession which best describes your job: - Other: NOT involved in the animal industry - Text","How many pigs do you have at any one time?","Have you got any experience of using swill on your farm?","If the use of swill were legalised, and procedures were put in place to ensure its feed safety (e.g. heat-treatment), would you consider using swill on your farm?","Do you use wet or dry feeding?","Was your farm directly affected by the 2001 foot and mouth disease outbreak?","",NA
"{\"ImportId\":\"QID22_6\"}","{\"ImportId\":\"QID24_1\"}","{\"ImportId\":\"QID25_1\"}","{\"ImportId\":\"QID26_1\"}","{\"ImportId\":\"QID27_1\"}","{\"ImportId\":\"QID28_1\"}","{\"ImportId\":\"QID29_1\"}","{\"ImportId\":\"QID30_1\"}","{\"ImportId\":\"QID1_1\"}","{\"ImportId\":\"QID1_2\"}","{\"ImportId\":\"QID1_3\"}","{\"ImportId\":\"QID1_4\"}","{\"ImportId\":\"QID1_5\"}","{\"ImportId\":\"QID1_6\"}","{\"ImportId\":\"QID1_7\"}","{\"ImportId\":\"QID1_8\"}","{\"ImportId\":\"QID1_9\"}","{\"ImportId\":\"QID1_10\"}","{\"ImportId\":\"QID3_1\"}","{\"ImportId\":\"QID3_2\"}","{\"ImportId\":\"QID3_3\"}","{\"ImportId\":\"QID3_4\"}","{\"ImportId\":\"QID3_5\"}","{\"ImportId\":\"QID3_6\"}","{\"ImportId\":\"QID3_7\"}","{\"ImportId\":\"QID3_8\"}","{\"ImportId\":\"QID3_9\"}","{\"ImportId\":\"QID3_10\"}","{\"ImportId\":\"QID4_1\"}","{\"ImportId\":\"QID4_2\"}","{\"ImportId\":\"QID4_3\"}","{\"ImportId\":\"QID4_4\"}","{\"ImportId\":\"QID4_5\"}","{\"ImportId\":\"QID4_6\"}","{\"ImportId\":\"QID4_7\"}","{\"ImportId\":\"QID4_8\"}","{\"ImportId\":\"QID4_9\"}","{\"ImportId\":\"QID4_10\"}","{\"ImportId\":\"QID13_1\"}","{\"ImportId\":\"QID13_2\"}","{\"ImportId\":\"QID13_4\"}","{\"ImportId\":\"QID13_5\"}","{\"ImportId\":\"QID13_6\"}","{\"ImportId\":\"QID13_7\"}","{\"ImportId\":\"QID13_8\"}","{\"ImportId\":\"QID13_9\"}","{\"ImportId\":\"QID13_10\"}","{\"ImportId\":\"QID13_11\"}","{\"ImportId\":\"QID13_12\"}","{\"ImportId\":\"QID13_13\"}","{\"ImportId\":\"QID31_1\"}","{\"ImportId\":\"QID32_1\"}","{\"ImportId\":\"QID33_1\"}","{\"ImportId\":\"QID34_1\"}","{\"ImportId\":\"QID39_1\"}","{\"ImportId\":\"QID40_1\"}","{\"ImportId\":\"QID41_1\"}","{\"ImportId\":\"QID42_1\"}","{\"ImportId\":\"QID43_2\"}","{\"ImportId\":\"QID44_1\"}","{\"ImportId\":\"QID46_1\"}","{\"ImportId\":\"QID53_1\"}","{\"ImportId\":\"QID53_2\"}","{\"ImportId\":\"QID48\"}","{\"ImportId\":\"QID54_1\"}","{\"ImportId\":\"QID54_2\"}","{\"ImportId\":\"QID54_3\"}","{\"ImportId\":\"QID54_4\"}","{\"ImportId\":\"QID54_5\"}","{\"ImportId\":\"QID54_6\"}","{\"ImportId\":\"QID54_7\"}","{\"ImportId\":\"QID54_8\"}","{\"ImportId\":\"QID54_9\"}","{\"ImportId\":\"QID54_10\"}","{\"ImportId\":\"QID54_11\"}","{\"ImportId\":\"QID54_12\"}","{\"ImportId\":\"QID55\"}","{\"ImportId\":\"QID56\"}","{\"ImportId\":\"QID57\"}","{\"ImportId\":\"QID57_11_TEXT\"}","{\"ImportId\":\"QID57_12_TEXT\"}","{\"ImportId\":\"QID58\"}","{\"ImportId\":\"QID62\"}","{\"ImportId\":\"QID50\"}","{\"ImportId\":\"QID59\"}","{\"ImportId\":\"QID63\"}","",NA
"Less damaging to the environment","Less nutritious","Less variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Totally disagree","Neither agree nor disagree","Neither agree nor disagree","Totally agree","Disagree","","","","","Better for the environment","More fatty","","More tasty","Better smelling","Neither more nor less marketable","More profitable","Definitely yes","Not sure","Definitely yes","Very Important","Not important","Neither important nor unimportant","Very Important","Very Important","Not at all important","Important","Not important","Very Important","Important","Neither important nor unimportant","Very Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",56
"Neither more nor less damaging to the environment","Neither more or less nutritious","Less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Positive","Positive","Neither positive nor negative","Positive","Positive","Positive","Negative","Negative","Positive","Neither positive nor negative","Comfortable","Very comfortable","Neither comfortable nor uncomfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Agree","Totally agree","Neither agree nor disagree","Agree","Agree","Totally agree","Disagree","Disagree","Disagree","Agree","Totally agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Probably not","Might or might not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Female","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",11
"Much less damaging to the environment","Neither more or less nutritious","Much more variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has much higher chemical safety","More ethical","Positive","Positive","Very negative","Positive","Positive","Positive","Very negative","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Very dissatisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Totally agree","Agree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Probably yes","Probably not","Probably yes","Important","Important","Important","Very Important","Very Important","Important","Very Important","Neither important nor unimportant","Very Important","Important","Important","Important","Male","31-50","Trader","","","","","","","","electronic",20
"Much less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Much lower cost","A lower disease risk","Neither higher nor lower microbiological safety","","Much more ethical","Very positive","Very positive","Very positive","Neither positive nor negative","Very positive","Very positive","Very positive","Very positive","Very negative","Very positive","Very comfortable","Very comfortable","Very comfortable","Neither comfortable nor uncomfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very uncomfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Very satisfied","Neither agree nor disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Totally agree","Totally agree","Totally agree","Neither faster nor slower growth rates","","Neither higher nor lower welfare","Much lower feed costs","Much better for the environment","Much less fatty","Neither lighter nor darker in colour","Much more tasty","Neither better nor worse smelling","Much less marketable","Much more profitable","Definitely yes","Probably not","Definitely yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Male","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",25
"More damaging to the environment","Less nutritious","Neither more or less variable in nutritional content","Higher cost","A lower disease risk","Has higher microbiological safety","Neither higher nor lower chemical safety","Neither more or less ethical","Positive","Negative","Positive","Negative","Very negative","Negative","Negative","Positive","Negative","Positive","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Disagree","Agree","Agree","Disagree","Agree","Totally disagree","Disagree","Disagree","Agree","Agree","Agree","Totally disagree","Neither faster nor slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","More marketable","Neither more nor less profitable","Probably not","Probably not","Definitely yes","Important","Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Important","Very Important","Very Important","Male","19-30","Agricultural advisor","","","","","","","","electronic",17
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Much lower cost","A higher disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","","Positive","Very positive","Positive","Positive","Negative","Very positive","Very negative","Negative","Very positive","Positive","Comfortable","Very comfortable","Comfortable","Comfortable","Uncomfortable","Very comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Comfortable","Satisfied","Very satisfied","Satisfied","Satisfied","Dissatisfied","Very satisfied","Very dissatisfied","Dissatisfied","Very satisfied","Satisfied","Totally agree","Totally agree","Agree","Totally agree","Agree","Agree","Disagree","Agree","Agree","Totally agree","Totally agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Much lower feed costs","Better for the environment","Less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Better smelling","More marketable","More profitable","Probably yes","Probably not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Important","Important","Very Important","Male","19-30","Pig farmer/pig farm manager","","","1000-4999","Yes","Absolutely","Wet feeding","Yes","electronic",33
"Much less damaging to the environment","Less nutritious","Much more variable in nutritional content","Much lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Positive","Very positive","Very positive","Positive","Negative","Very positive","Positive","Positive","Very positive","Positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Totally agree","Totally agree","Totally agree","Agree","Totally agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Totally disagree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Much more fatty","Much lighter in colour","Neither more nor less tasty","Much worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Probably yes","Not at all important","Neither important nor unimportant","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Not at all important","Neither important nor unimportant","Important","Important","Important","Male","50+","Trader","","","","","","","","electronic",23
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","More ethical","Positive","Very positive","Positive","Very positive","Positive","Very positive","Negative","Positive","Very positive","Neither positive nor negative","Comfortable","Very comfortable","Neither comfortable nor uncomfortable","Comfortable","Very comfortable","Very comfortable","Uncomfortable","Comfortable","Very comfortable","Comfortable","Satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Dissatisfied","Satisfied","Very satisfied","Satisfied","Agree","Totally agree","Agree","Agree","Totally agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Totally agree","Agree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","More tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Probably yes","Definitely yes","Very Important","Important","Very Important","Very Important","Important","Important","Very Important","Not important","Important","Very Important","Very Important","Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",107
